"...1","#","Activity","Date Opened","RID","State","Type","Scope","SIC","NAICS","Violations","Establishment Name"
NA,119,908537.015,"05/14/2013",936500,"NV","Planned","Partial",NA,112511,1,"Bureau Of Reclamation, Lahontan Basin Area Office"
NA,120,908534.015,"05/14/2013",936500,"NV","Planned","Complete",NA,112511,2,"Us Fish And Wildlife, Nixon"
NA,121,316945724,"05/08/2013",1054114,"OR","Planned","No Insp/Other",273,112511,NA,"Blue Den Ranch Llc"
NA,122,902455.015,"04/24/2013",111100,"ME","FollowUp","Partial",NA,112519,2,"Cooke Aquaculture, Inc., U.S."
NA,123,316681584,"03/27/2013",352440,"MD","Referral","Partial",921,112511,6,"Maryland Department Of Natural Resources"
NA,124,317075158,"03/19/2013",352440,"MD","Planned","Complete",921,112511,20,"Maryland Department Of Natural Resources"
NA,125,856603.015,"01/22/2013",936300,"HI","Complaint","Partial",NA,112511,3,"Blue Ocean Mariculture Llc"
NA,126,832021.015,"01/15/2013",936400,"AZ","Planned","Complete",NA,112511,18,"Alchesay-Williams Creek National Fish Hatchery Complex"
NA,127,315331827,"01/08/2013",253670,"NY","FollowUp","Partial",921,112511,NA,"Nysdec Salmon River Fish Hatchery"
NA,128,315331645,"12/21/2012",253670,"NY","Planned","Complete",921,112511,15,"Onondaga Co Carpenter'S Brook Fish Hatchery"
NA,129,316787225,"12/13/2012",355123,"VA","Complaint","Partial",273,112511,NA,"Virginia Cobia Farms"
NA,130,315331504,"12/07/2012",253670,"NY","FollowUp","Partial",921,112511,NA,"Nysdec Oneida Fish Cultural Station"
NA,131,315331181,"12/04/2012",253670,"NY","Planned","Complete",921,112511,6,"Nysdec Salmon River Fish Hatchery"
NA,132,316801349,"11/02/2012",552700,"MN","Complaint","Partial",921,112511,1,"Mn Dept Of Natural Resources - West Metro"
NA,133,315330613,"10/04/2012",253670,"NY","Planned","Complete",921,112511,3,"Nysdec Oneida Fish Cultural Station"
NA,134,316402429,"08/29/2012",1055310,"WA","Referral","Complete",273,112512,3,"Taylor United Inc Samish Farm"
NA,135,603878.015,"08/29/2012",1032300,"WA","Planned","Complete",NA,112511,2,"U.S. Fish & Wildlife Service Leavenworth National Fish Hatchery"
NA,136,316402411,"08/29/2012",1055310,"WA","Referral","No Insp/Other",273,112512,NA,"Taylor United Inc Samish Farm"
NA,137,604719.015,"08/29/2012",1032300,"WA","Planned","Complete",NA,112511,2,"U.S. Fish & Wildlife Service Leavenworth National Fish Hatchery"
NA,138,552764.015,"08/02/2012",1032300,"WA","Planned","Complete",NA,112511,2,"U.S. Fish & Wildlife"
NA,139,315494005,"08/02/2012",452110,"KY","Referral","Partial",279,112519,3,"Steve Pritchett Farms, Llc"
NA,140,316321157,"07/18/2012",551703,"IL","Planned","Complete",921,112511,1,"Il Dept.Of Natural Resources-Beaver Dam State Park"
NA,141,315668533,"06/29/2012",1054113,"OR","Planned","Complete",273,112511,5,"Pearls Of Paradise Llc"
NA,142,509698.015,"06/20/2012",936500,"NV","Planned","Complete",NA,112511,5,"Department Of Agriculture - Humboldt-Toiyabe National Forest Service"
NA,143,315344390,"05/02/2012",950632,"CA","Complaint","Partial",921,112511,28,"Gc3 Lp Dba Imperial Catfish Llc"
NA,144,316249010,"04/19/2012",1055340,"WA","Unprog Rel","Partial",273,112512,NA,"Taylor Shellfish Company Inc"
NA,145,316288281,"01/25/2012",111100,"ME","Planned","Complete",273,112519,11,"Cooke Aquaculture, Inc. U.S."
NA,146,313864639,"01/05/2012",253610,"NY","FollowUp","Partial",921,112511,NA,"Warren County - Fish Hatchery (Dpw)"
NA,147,315663724,"12/07/2011",1054113,"OR","Planned","No Insp/Other",273,112511,NA,"Pearls Of Paradise Llc"
NA,148,315249920,"10/12/2011",1055340,"WA","Referral","Partial",919,112512,NA,"Seattle Shellfish Llc"
NA,149,315201475,"09/27/2011",1055320,"WA","Planned","Complete",273,112512,NA,"Taylor Shellfish Co Inc"
NA,150,97771.015,"08/03/2011",1032500,"ID","FollowUp","Partial",NA,112511,3,"Us Fish & Wildlife, Dworshak Fisheries"
NA,151,315093575,"08/02/2011",1055340,"WA","Planned","No Insp/Other",273,112511,NA,"Aqua Services Inc"
NA,152,97526.015,"07/28/2011",1032300,"WA","Planned","Complete",NA,112511,7,"U.S. Fish & Wildlife"
NA,153,97222.015,"07/28/2011",1032300,"WA","Planned","Complete",NA,112511,3,"U.S. Fish & Wildlife Service - Willard Nfh"
NA,154,313083032,"07/22/2011",951510,"HI","Referral","Partial",921,112511,2,"Grove Farm Fish & Poi Llc Dba Hukilau Foods"
NA,155,313867004,"07/21/2011",253610,"NY","Planned","Complete",921,112511,6,"Warren County - Fish Hatchery (Dpw)"
NA,156,315059048,"07/15/2011",1055340,"WA","Planned","Complete",279,112519,NA,"Cascade Aqua Farms"
NA,157,313082828,"06/30/2011",951510,"HI","Referral","Complete",921,112511,6,"Grove Farm Fish & Poi Llc Dba Hukilau Foods"
NA,158,315596874,"06/02/2011",355123,"VA","Planned","Partial",921,112511,NA,"Wytheville Fish Cultural Station"
NA,159,313082638,"05/25/2011",951510,"HI","Accident","Complete",921,112511,16,"Grove Farm Fish & Poi Llc Dba Hukilau Foods"
NA,160,315056960,"05/05/2011",355123,"VA","Complaint","Partial",273,112511,NA,"Virginia Cobia Farms"
NA,161,307507681,"03/08/2011",1032100,"AK","Planned","Complete",921,112511,3,"Us Fish And Wildlife Service"
NA,1,1847602.015,"08/28/2025",419400,"MS","Complaint","Partial",NA,112519,NA,"Saul Farms Trucking Llc"
NA,2,1847522.015,"08/28/2025",1055330,"WA","Planned","Complete",NA,112512,4,"Wa317987618 - Minterbrook Oyster Co"
NA,3,1846597.015,"08/26/2025",253620,"NY","FollowUp","Complete",NA,112511,NA,"Nysdec South Otselic Fish Hatchery"
NA,4,1840596.015,"07/29/2025",420600,"FL","Planned","No Insp/SIC not on PG",NA,112511,NA,"Hire Us Inc."
NA,5,1840160.015,"07/24/2025",1055310,"WA","Referral","Partial",NA,112511,NA,"Wa317987089 - Stilly Snohomish Fisheries E"
NA,6,1840178.015,"07/23/2025",1055340,"WA","Planned","Complete",NA,112512,2,"Wa317987084 - Taylor Shellfish Company Inc"
NA,7,1836157.015,"07/08/2025",1055340,"WA","Planned","Complete",NA,112512,2,"Wa317986791 - Pacific Shellfish Willapa Llc"
NA,8,1833561.015,"06/26/2025",253640,"NY","FollowUp","Partial",NA,112511,NA,"Islip Tn Shellfish Culture Facility"
NA,9,1832521.015,"06/23/2025",551702,"IL","Referral","Partial",NA,112511,NA,"Il Dept Of Natural Resources - Little Grassy Fish Hatchery"
NA,10,1829255.015,"06/05/2025",1055310,"WA","Planned","Complete",NA,112512,NA,"Wa317986345 - Taylor Shellfish Company Inc"
NA,11,1828217.015,"05/29/2025",1055340,"WA","Planned","Complete",NA,112512,5,"Wa317986265 - Safe Coast Shellfish Llc"
NA,12,1829526.015,"05/28/2025",1054114,"OR","Planned","Complete",273,112511,NA,"317740676 - State Of Oregon Department Of Fish & Wildlife"
NA,13,1826889.015,"05/27/2025",253620,"NY","Planned","Complete",NA,112511,20,"Nysdec South Otselic Fish Hatchery"
NA,14,1809469.015,"03/07/2025",1055340,"WA","Planned","Complete",NA,112512,NA,"Wa317984937 - Pacific Shellfish Willapa Llc"
NA,15,1818224.015,"03/06/2025",1055340,"WA","Planned","Complete",NA,112512,2,"Wa317984919 - Goose Point Oysters Inc"
NA,16,1809489.015,"03/06/2025",1055340,"WA","Planned","Complete",NA,112512,NA,"Wa317984951 - Goose Point Oysters Inc"
NA,17,1807471.015,"02/27/2025",1055350,"WA","Complaint","Partial",NA,112511,5,"Wa317984802 - Troutlodge Inc"
NA,18,1807472.015,"02/27/2025",1055350,"WA","Complaint","Partial",NA,112511,6,"Wa317984806 - Troutlodge Inc"
NA,19,1799825.015,"01/21/2025",951510,"HI","Complaint","Partial",NA,112519,3,"Kowa Premium Foods Hawaii Corporation"
NA,20,1796422.015,"01/07/2025",253640,"NY","Prog Other","Partial",NA,112511,1,"Islip Tn Shellfish Culture Facility"
NA,21,1800781.015,"12/16/2024",1055350,"WA","Referral","Partial",NA,112511,2,"Wa317983766 - Troutlodge"
NA,22,1792918.015,"12/10/2024",1055340,"WA","Planned","Complete",NA,112512,2,"Wa317983624 - Little Skookum Shellfish Growers Inc"
NA,23,1784704.015,"10/23/2024",253620,"NY","FollowUp","Partial",NA,112511,NA,"Nysdec-Catskill Fish Hatchery"
NA,24,1784690.015,"10/10/2024",253620,"NY","FollowUp","Complete",NA,112511,NA,"Nysdec-Catskill Fish Hatchery"
NA,25,1780611.015,"10/09/2024",257240,"PR","Complaint","Partial",NA,112519,5,"Institute For Socio - Ecological Research, Inc."
NA,26,1764807.015,"07/26/2024",253620,"NY","Monitoring","Partial",NA,112511,2,"Nysdec-Catskill Fish Hatchery"
NA,27,1764182.015,"07/09/2024",419400,"MS","Planned","No Insp/Out of Business",NA,112512,NA,"Bradford Seafood Llc"
NA,28,1759441.015,"06/24/2024",1032700,"OR","Planned","Complete",NA,112512,NA,"Qualman Oyster Company"
NA,29,1748580.015,"05/16/2024",355124,"VA","Planned","No Insp/SIC not on PG",NA,112512,NA,"Bagwell Enterprises Inc."
NA,30,1743977.015,"04/19/2024",1055340,"WA","Planned","Complete",NA,112512,4,"Wa317979840 - Seattle Shellfish Llc"
NA,31,1739824.015,"04/05/2024",1055340,"WA","Planned","Complete",NA,112512,NA,"Wa317979472 - Taylor Shellfish Company Inc"
NA,32,1736296.015,"03/20/2024",1055340,"WA","Planned","Complete",NA,112511,2,"Wa317979147 - Riverence Brood Llc"
NA,33,1736303.015,"03/20/2024",1055340,"WA","Planned","Complete",NA,112511,NA,"Wa317979149 - Riverence Brood Llc"
NA,34,1723663.015,"01/25/2024",253620,"NY","Monitoring","Partial",NA,112511,NA,"Nysdec-Catskill Fish Hatchery"
NA,35,1721401.015,"01/11/2024",552651,"MI","Referral","Partial",NA,112519,2,"La Dulse Vita, Llc"
NA,36,1720740.015,"01/10/2024",951510,"HI","Complaint","Partial",NA,112519,11,"Blue Ocean Barns Inc"
NA,37,1715722.015,"12/12/2023",552652,"MI","Unprog Rel","Partial",NA,112519,1,"Xenopus 1 Corp."
NA,38,1704353.015,"10/19/2023",626000,"TX","Referral","Partial",NA,112511,3,"R&G Fish Llc"
NA,39,1701684.015,"10/03/2023",1032300,"WA","Planned","Complete",NA,112511,5,"Fish & Wildlife Service, Leavenworth National Fish Hatchery"
NA,40,1701724.015,"10/03/2023",1032300,"WA","Planned","Complete",NA,112511,NA,"Fish & Wildlife Service, Leavenworth National Fish Hatchery"
NA,41,1699386.015,"09/20/2023",1055340,"WA","Planned","Complete",NA,112512,NA,"Wa317976211 - Taylor Shellfish Company Inc"
NA,42,1690713.015,"08/10/2023",419400,"MS","Fat/Cat","Complete",NA,112511,1,"M&T Farms"
NA,43,1688644.015,"07/28/2023",626000,"TX","Fat/Cat","No Insp/Other",NA,112519,NA,"Bowers & Saha Aquaculture Llc"
NA,44,1686364.015,"07/27/2023",253620,"NY","Planned","Complete",NA,112511,22,"Nysdec-Catskill Fish Hatchery"
NA,45,1682955.015,"07/10/2023",454722,"TN","Complaint","No Insp/Other",NA,112511,NA,"Jessie Foreman"
NA,46,1680034.015,"06/28/2023",419400,"MS","Complaint","Partial",NA,112519,1,"Spat-Tech Of Mississippi Llc"
NA,47,1698349.015,"06/20/2023",355118,"VA","Referral","Partial",NA,112519,NA,"Blue Ridge Aquaculture, Inc."
NA,48,1671816.015,"05/18/2023",1055340,"WA","Planned","Complete",NA,112512,4,"Wa317974164 - Jj Brenner Oyster Company The"
NA,49,1663238.015,"04/12/2023",1055330,"WA","Planned","Complete",NA,112512,4,"Wa317973498 - Taylor Shellfish Company Inc"
NA,50,1653914.015,"02/27/2023",1032100,"AK","Planned","Complete",NA,112511,NA,"Coastal Villages Pollock, Llc"
NA,51,1652206.015,"02/21/2023",1055330,"WA","Planned","No Insp/Other",NA,112511,NA,"Wa317972745 - Troutlodge Inc"
NA,52,1641502.015,"01/04/2023",111100,"ME","Complaint","Complete",NA,112519,5,"Running Tide, Inc."
NA,53,1638384.015,"12/09/2022",111100,"ME","Referral","Partial",NA,112511,NA,"Cooke Aquaculture Usa, Llc"
NA,54,1637084.015,"12/02/2022",1050210,"AK","Referral","Records",NA,112519,4,"Prince William Sound Aquaculture Corporation"
NA,55,1635844.015,"11/23/2022",951510,"HI","Complaint","Partial",NA,112511,2,"Fatfish Farms, Llc"
NA,56,1618816.015,"09/01/2022",420600,"FL","Referral","No Insp/Exempt by Appropriation Act",NA,112519,NA,"Graziani Reptiles Inc"
NA,57,1614579.015,"07/20/2022",950632,"CA","Complaint","Partial",NA,112511,NA,"Pacific Aqua Farms Inc."
NA,58,1599046.015,"05/20/2022",936100,"CA","Complaint","Partial",NA,112511,NA,"Bureau Of Reclamation-Shasta Dam"
NA,59,1572462.015,"01/13/2022",418800,"FL","Complaint","Partial",NA,112519,2,"Florida Shrimp Company"
NA,60,1567054.015,"12/06/2021",1055330,"WA","Planned","Complete",NA,112511,1,"Wa317966675 - Cooke Aquaculture Pacific Llc"
NA,61,1561461.015,"10/28/2021",1055310,"WA","Referral","Partial",NA,112512,3,"Wa317966164 - Trans Ocean Seafoods Inc"
NA,62,1561075.015,"10/13/2021",111100,"ME","Complaint","Partial",NA,112519,2,"Maine Shellfish Developers"
NA,63,1554773.015,"09/22/2021",1032700,"OR","Referral","Partial",NA,112512,3,"Pacific Shellfish-Coos Bay, Llc"
NA,64,1548073.015,"08/05/2021",1055330,"WA","Planned","Complete",NA,112512,NA,"Wa317965190 - Minterbrook Oyster Co"
NA,65,1540733.015,"07/08/2021",111100,"ME","Complaint","Partial",NA,112519,2,"Wild Ocean Aquaculture, Llc."
NA,66,1535169.015,"06/09/2021",625500,"TX","Complaint","Partial",NA,112511,NA,"Naturalshrimp"
NA,67,1535183.015,"06/09/2021",625500,"TX","Complaint","Partial",NA,112511,NA,"Naturalshrimp"
NA,68,1526742.015,"04/22/2021",355124,"VA","Referral","Partial",NA,112512,3,"Bagwell Enterprises Inc."
NA,69,1526110.015,"04/16/2021",418800,"FL","Referral","Partial",NA,112511,1,"Atlantic Sapphire Usa, Llc"
NA,70,1512210.015,"11/23/2020",253680,"NY","FollowUp","Partial",NA,112511,NA,"Nysdec Chateaugay Fish Hatchery"
NA,71,1508320.015,"10/28/2020",1032700,"OR","Prog Related","No Insp/Other",NA,112512,NA,"Coos Bay Oyster"
NA,72,1462799.015,"02/12/2020",1055310,"WA","Planned","Complete",NA,112519,3,"Wa317958205 - Western Chemical Inc"
NA,73,1463115.015,"02/10/2020",1032700,"OR","Planned","Complete",NA,112512,NA,"Coos Bay Oyster"
NA,74,1457305.015,"01/22/2020",1055310,"WA","Planned","Complete",NA,112519,2,"Wa317957847 - Western Chemical Inc"
